County_Name,City,ZIP,County_Population,City_Population,Zip_Population,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Or_Above_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges
Morris County,White City,66872,5388,439,885,1,0,1,0,0,0,0,0
Morton County,Elkhart,67950,2647,1732,1786,1,1,1,0,1,0,0,0
Morton County,Newton,67114,2647,18443,21102,0,0,0,1,0,0,0,0
Morton County,Rolla,67954,2647,545,797,1,0,1,0,0,0,0,0
Nemaha County,Centralia,66415,10213,496,763,1,0,1,0,0,0,0,0
Nemaha County,Sabetha,66534,10213,2326,3720,1,1,1,0,0,0,0,0
Nemaha County,Seneca,66538,10213,2139,3577,0,1,1,0,0,0,0,0
Neosho County,Chanute,66720,15715,8629,10913,1,1,1,0,0,0,1,0
Neosho County,Chanute,DNE,15715,8629,-1,0,0,0,0,1,0,1,0
Neosho County,Cherryvale,67335,15715,2125,3300,0,0,0,0,1,0,0,0
Neosho County,Erie,66733,15715,1318,1966,1,0,1,0,0,0,0,0
Neosho County,Galesburg,66740,15715,184,268,0,1,0,0,0,0,0,0
Neosho County,St. Paul,66771,15715,665,1077,1,1,1,0,0,0,0,0
Ness County,Bazine,67516,2659,454,563,0,1,0,0,0,0,0,0
Ness County,Ness City,67560,2659,1136,1394,1,0,1,0,0,0,0,0
Ness County,Ransom,67572,2659,261,403,1,0,1,0,0,0,0,0
Norton County,Almena,67622,5392,447,586,1,0,1,0,0,0,0,0
Norton County,Norton,67654,5392,2704,4209,1,1,1,0,0,0,0,0
Osage County,Burlingame,66413,15780,976,1697,1,0,1,0,0,0,0,0
Osage County,Carbondale,66414,15780,1361,2349,0,0,1,0,1,0,0,0
Osage County,Lyndon,66451,15780,1184,1809,1,0,1,0,0,0,0,0
Osage County,Melvern,66510,15780,304,619,0,1,1,0,0,0,0,0
Osage County,Osage City,66523,15780,2837,3873,1,1,1,0,0,0,0,0
Osage County,Overbrook,66524,15780,1015,2371,0,0,0,0,1,0,0,0
Osage County,Quenemo,66528,15780,375,876,1,0,0,0,0,0,0,0
Osborne County,Downs,67437,3473,663,907,0,0,1,0,0,0,0,0
Osborne County,Natoma,67651,3473,371,493,1,0,1,0,0,0,0,0
Osborne County,Osborne,67473,3473,1496,1837,1,0,1,0,0,0,0,0
Ottawa County,Bennington,67422,5782,612,1419,1,0,1,0,0,0,0,0
Ottawa County,Minneapolis,67467,5782,2101,2701,1,0,1,0,0,0,0,0
